Unnamed: 0,key,params,f1_score
101,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 50}",0.6066084079622255
84,XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",0.6052702738181223
97,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.6044546669664179
100,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 25}",0.5997670609443252
96,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.5994117738769399
88,XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200}",0.5985119331559141
25,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 25}",0.5983034785926832
13,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200}",0.5979893087254605
79,XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 1000}",0.5978426508481105
92,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100}",0.5978009730607633
89,XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 1000}",0.5972190002354307
20,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 25}",0.5967340602302111
21,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.5959833848100174
102,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",0.5957131506875849
4,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 1000}",0.5955439637012537
16,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 50}",0.5947264822491137
17,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100}",0.5939965020040899
93,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200}",0.5937666880637393
87,XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",0.5917963690527847
8,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.5913991928702438
98,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.5909029596117551
95,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 25}",0.5898713787143129
26,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 50}",0.5885803833770121
9,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",0.5881627062954106
22,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.5874514835962324
12,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",0.5868593277731745
18,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200}",0.5866564970689275
83,XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.5849130502242325
91,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 50}",0.5835124237614857
105,XGBClassifier,"{'learning_rate': 1.0, 'max_depth': 2, 'n_estimators': 25}",0.5809870784602985
15,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 25}",0.5778856924301422
103,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}",0.5767015767431493
14,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 1000}",0.5763455518757048
27,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",0.575696927897875
7,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.5743697837536922
23,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.5743160447579357
110,XGBClassifier,"{'learning_rate': 1.0, 'max_depth': 3, 'n_estimators': 25}",0.5727469873729035
86,XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 50}",0.5727184118012316
82,XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.5726957488358891
3,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 200}",0.5721114734785457
11,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 50}",0.5697479782680669
94,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1000}",0.5690882540604157
19,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1000}",0.5683763894696425
106,XGBClassifier,"{'learning_rate': 1.0, 'max_depth': 2, 'n_estimators': 50}",0.5679158057882613
125,MLPClassifier,"{'activation': 'tanh', 'hidden_layer_sizes': (8,)}",0.5652734859200821
85,XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 25}",0.5638914185768851
107,XGBClassifier,"{'learning_rate': 1.0, 'max_depth': 2, 'n_estimators': 100}",0.5614732457543261
28,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}",0.5600936320473019
115,XGBClassifier,"{'learning_rate': 1.0, 'max_depth': 4, 'n_estimators': 25}",0.5580014356679626
10,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 25}",0.5573244264462524
90,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 25}",0.5549998391398038
111,XGBClassifier,"{'learning_rate': 1.0, 'max_depth': 3, 'n_estimators': 50}",0.5543620768042073
136,SVC,"{'C': 10, 'gamma': 0.01}",0.5535583514023413
99,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}",0.5523141902735502
74,RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 1000}",0.5515676589527244
133,SVC,"{'C': 5, 'gamma': 0.01}",0.5505038206556914
73,RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 200}",0.5493503582685161
59,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 4, 'n_estimators': 1000}",0.5477804409797328
